"","x"
"1",10
"2",11
"3",12
"4",17
"5",20
"6",22
"7",22
"8",21
"9",17
"10",19
"11",18
"12",18
"13",19
"14",21
"15",25
"16",25
"17",25
"18",21
"19",22
"20",20
"21",18
"22",16
"23",19
"24",21
"25",21
"26",21
"27",23
"28",21
"29",22
"30",27
"31",26
"32",23
"33",19
"34",21
"35",24
"36",25
"37",28
"38",26
"39",22
"40",23
"41",24
"42",24
"43",23
"44",19
"45",23
"46",27
"47",27
"48",27
"49",23
"50",25
"51",24
"52",26
"53",27
"54",25
"55",24
"56",23
"57",20
"58",18
"59",23
"60",23
"61",22
"62",23
"63",25
"64",22
"65",18
"66",22
"67",21
"68",21
"69",23
"70",25
"71",24
"72",24
"73",27
"74",29
"75",30
"76",30
"77",28
"78",23
"79",22
"80",19
"81",18
"82",17
"83",22
"84",19
"85",18
"86",19
"87",19
"88",18
"89",20
"90",15
"91",19
"92",24
"93",22
"94",23
"95",24
"96",20
"97",24
"98",24
"99",21
"100",22
