"","x"
"1",8
"2",12
"3",15
"4",19
"5",20
"6",17
"7",18
"8",18
"9",21
"10",24
"11",25
"12",24
"13",27
"14",28
"15",32
"16",32
"17",30
"18",29
"19",22
"20",20
"21",21
"22",25
"23",26
"24",23
"25",24
"26",22
"27",21
"28",22
"29",21
"30",21
"31",21
"32",24
"33",27
"34",25
"35",22
"36",24
"37",21
"38",21
"39",23
"40",23
"41",22
"42",23
"43",21
"44",19
"45",22
"46",22
"47",22
"48",24
"49",21
"50",22
"51",19
"52",22
"53",21
"54",20
"55",23
"56",19
"57",21
"58",23
"59",22
"60",19
"61",19
"62",21
"63",22
"64",22
"65",25
"66",24
"67",24
"68",23
"69",27
"70",26
"71",25
"72",26
"73",22
"74",21
"75",19
"76",22
"77",28
"78",31
"79",29
"80",26
"81",23
"82",18
"83",25
"84",25
"85",25
"86",22
"87",22
"88",24
"89",23
"90",24
"91",28
"92",21
"93",22
"94",21
"95",20
"96",21
"97",20
"98",21
"99",15
"100",16
